Matched name	Primary name	Type	Identifier	Peaktime	rank	Phenotypes
TMEM138	TMEM138	Homo sapiens gene	ENSP00000278826	non-periodic	486	
ARHGDIB	ARHGDIB	Homo sapiens gene	ENSP00000228945	non-periodic	487	
PLK2	PLK2	Homo sapiens gene	ENSP00000274289	non-periodic	488	G1
CEP76	CEP76	Homo sapiens gene	ENSP00000262127	non-periodic	489	
NAB1	NAB1	Homo sapiens gene	ENSP00000336894	non-periodic	490	
AP3D1	AP3D1	Homo sapiens gene	ENSP00000344055	non-periodic	491	
BIVM	BIVM	Homo sapiens gene	ENSP00000257336	non-periodic	492	
NUCKS1	NUCKS1	Homo sapiens gene	ENSP00000356110	non-periodic	493	
FAM105A	FAM105A	Homo sapiens gene	ENSP00000274217	non-periodic	494	
CCDC84	CCDC84	Homo sapiens gene	ENSP00000334767	non-periodic	495	
CCDC14	CCDC14	Homo sapiens gene	ENSP00000395706	non-periodic	496	
SRSF5	SRSF5	Homo sapiens gene	ENSP00000377892	non-periodic	497	
RMI1	RMI1	Homo sapiens gene	ENSP00000317039	non-periodic	498	
CBX3	CBX3	Homo sapiens gene	ENSP00000336687	non-periodic	499	G1
TSEN54	TSEN54	Homo sapiens gene	ENSP00000327487	non-periodic	500
SRSF10	SRSF10	Homo sapiens gene	ENSP00000420195	non-periodic	501	
RPRD1A	RPRD1A	Homo sapiens gene	ENSP00000349955	non-periodic	502	
DMXL2	DMXL2	Homo sapiens gene	ENSP00000441858	non-periodic	503	
NUP98	NUP98	Homo sapiens gene	ENSP00000316032	non-periodic	504	
RNF126	RNF126	Homo sapiens gene	ENSP00000292363	non-periodic	505	
MED31	MED31	Homo sapiens gene	ENSP00000225728	non-periodic	506	
TYMS	TYMS	Homo sapiens gene	ENSP00000315644	non-periodic	507	
ENOSF1	ENOSF1	Homo sapiens gene	ENSP00000345974	non-periodic	508	
RRM1	RRM1	Homo sapiens gene	ENSP00000300738	non-periodic	509	S
PCED1A	PCED1A	Homo sapiens gene	ENSP00000353868	non-periodic	510	
NPTX1	NPTX1	Homo sapiens gene	ENSP00000307549	non-periodic	511	
CXCL2	CXCL2	Homo sapiens gene	ENSP00000427279	non-periodic	512	
NFKB1	NFKB1	Homo sapiens gene	ENSP00000226574	non-periodic	513	
ADCK2	ADCK2	Homo sapiens gene	ENSP00000072869	non-periodic	514	
STYX	STYX	Homo sapiens gene	ENSP00000346599	non-periodic	515	
NUS1	NUS1	Homo sapiens gene	ENSP00000357480	non-periodic	516	
C4orf21	C4orf21	Homo sapiens gene	ENSP00000424737	non-periodic	517	
IL11	IL11	Homo sapiens gene	ENSP00000264563	non-periodic	518	
HAUS8	HAUS8	Homo sapiens gene	ENSP00000253669	non-periodic	519	
PANK2	PANK2	Homo sapiens gene	ENSP00000313377	non-periodic	520
TMEM2	TMEM2	Homo sapiens gene	ENSP00000366243	non-periodic	521	
CCL2	CCL2	Homo sapiens gene	ENSP00000225831	non-periodic	522	
SFTPB	SFTPB	Homo sapiens gene	ENSP00000377409	non-periodic	523	
ZMYM3	ZMYM3	Homo sapiens gene	ENSP00000322845	non-periodic	524	
C2orf69	C2orf69	Homo sapiens gene	ENSP00000312770	non-periodic	525	
EIF4G3	EIF4G3	Homo sapiens gene	ENSP00000364073	non-periodic	526	
KIAA1586	KIAA1586	Homo sapiens gene	ENSP00000359768	non-periodic	527	
KHK	KHK	Homo sapiens gene	ENSP00000260598	non-periodic	528	
PHTF2	PHTF2	Homo sapiens gene	ENSP00000400958	non-periodic	529	
FAM26E	FAM26E	Homo sapiens gene	ENSP00000357588	non-periodic	530	
AP4B1	AP4B1	Homo sapiens gene	ENSP00000256658	non-periodic	531	
CNOT6	CNOT6	Homo sapiens gene	ENSP00000261951	non-periodic	532	
BRWD1	BRWD1	Homo sapiens gene	ENSP00000330753	non-periodic	533	
UNC5CL	UNC5CL	Homo sapiens gene	ENSP00000244565	non-periodic	534	
SLC51B	SLC51B	Homo sapiens gene	ENSP00000335292	non-periodic	535	
SPTBN1	SPTBN1	Homo sapiens gene	ENSP00000349259	non-periodic	536	
ORC3	ORC3	Homo sapiens gene	ENSP00000257789	non-periodic	537	
C14orf80	C14orf80	Homo sapiens gene	ENSP00000376307	non-periodic	538	
ESD	ESD	Homo sapiens gene	ENSP00000367992	non-periodic	539	
TSPYL4	TSPYL4	Homo sapiens gene	ENSP00000410943	non-periodic	540
SVIP	SVIP	Homo sapiens gene	ENSP00000346130	non-periodic	541	
HSD17B11	HSD17B11	Homo sapiens gene	ENSP00000351035	non-periodic	542	
COL4A5	COL4A5	Homo sapiens gene	ENSP00000331902	non-periodic	543	
DNAJC3	DNAJC3	Homo sapiens gene	ENSP00000365991	non-periodic	544	
HERC4	HERC4	Homo sapiens gene	ENSP00000378624	non-periodic	545	
HERPUD1	HERPUD1	Homo sapiens gene	ENSP00000409555	non-periodic	546	
LYAR	LYAR	Homo sapiens gene	ENSP00000345917	non-periodic	547	
LNP1	LNP1	Homo sapiens gene	ENSP00000373191	non-periodic	548	
ANXA1	ANXA1	Homo sapiens gene	ENSP00000257497	non-periodic	549	
UBXN11	UBXN11	Homo sapiens gene	ENSP00000363338	non-periodic	550	
KIAA0586	KIAA0586	Homo sapiens gene	ENSP00000261244	non-periodic	551	
RAD54B	RAD54B	Homo sapiens gene	ENSP00000336606	non-periodic	552	
FBXO22	FBXO22	Homo sapiens gene	ENSP00000307833	non-periodic	553	
WWC1	WWC1	Homo sapiens gene	ENSP00000427772	non-periodic	554	
TMEM174	TMEM174	Homo sapiens gene	ENSP00000296776	non-periodic	555	
TBX3	TBX3	Homo sapiens gene	ENSP00000257566	non-periodic	556	
ARL6IP6	ARL6IP6	Homo sapiens gene	ENSP00000315357	non-periodic	557	
PLAUR	PLAUR	Homo sapiens gene	ENSP00000339328	non-periodic	558	G1
TRIM45	TRIM45	Homo sapiens gene	ENSP00000256649	non-periodic	559	
KRT78	KRT78	Homo sapiens gene	ENSP00000306261	non-periodic	560
TONSL	TONSL	Homo sapiens gene	ENSP00000386239	non-periodic	561	
NCOA5	NCOA5	Homo sapiens gene	ENSP00000290231	non-periodic	562	
LMNB1	LMNB1	Homo sapiens gene	ENSP00000261366	non-periodic	563	
CAPS	CAPS	Homo sapiens gene	ENSP00000222125	non-periodic	564	
C20orf111	C20orf111	Homo sapiens gene	ENSP00000255174	non-periodic	565	
SGK1	SGK1	Homo sapiens gene	ENSP00000356832	non-periodic	566	
CXCR4	CXCR4	Homo sapiens gene	ENSP00000386884	non-periodic	567	
GNB1	GNB1	Homo sapiens gene	ENSP00000367869	non-periodic	568	
RFC3	RFC3	Homo sapiens gene	ENSP00000369411	non-periodic	569	
PSMD11	PSMD11	Homo sapiens gene	ENSP00000261712	non-periodic	570	G1
NLGN4X	NLGN4X	Homo sapiens gene	ENSP00000275857	non-periodic	571	
HHAT	HHAT	Homo sapiens gene	ENSP00000438468	non-periodic	572	
NCS1	NCS1	Homo sapiens gene	ENSP00000361475	non-periodic	573	
KLF13	KLF13	Homo sapiens gene	ENSP00000302456	non-periodic	574	
RPA2	RPA2	Homo sapiens gene	ENSP00000363021	non-periodic	575	S
CYTH3	CYTH3	Homo sapiens gene	ENSP00000297044	non-periodic	576	
FANCA	FANCA	Homo sapiens gene	ENSP00000373952	non-periodic	577	
CFC1	CFC1	Homo sapiens gene	ENSP00000259216	non-periodic	578	
CFC1B	CFC1B	Homo sapiens gene	ENSP00000281882	non-periodic	579	
VPS51	VPS51	Homo sapiens gene	ENSP00000279281	non-periodic	580
MCFD2	MCFD2	Homo sapiens gene	ENSP00000317271	non-periodic	581	
PHLDB2	PHLDB2	Homo sapiens gene	ENSP00000377502	non-periodic	582	
ZNFX1	ZNFX1	Homo sapiens gene	ENSP00000360817	non-periodic	583	
CDK8	CDK8	Homo sapiens gene	ENSP00000370938	non-periodic	584	
CACUL1	CACUL1	Homo sapiens gene	ENSP00000358147	non-periodic	585	
ELK3	ELK3	Homo sapiens gene	ENSP00000228741	non-periodic	586	
HSPH1	HSPH1	Homo sapiens gene	ENSP00000318687	non-periodic	587	
TGIF1	TGIF1	Homo sapiens gene	ENSP00000327959	non-periodic	588	
RBBP4	RBBP4	Homo sapiens gene	ENSP00000362592	non-periodic	589	S
SYNC	SYNC	Homo sapiens gene	ENSP00000386439	non-periodic	590	
FERMT2	FERMT2	Homo sapiens gene	ENSP00000342858	non-periodic	591	
MIS12	MIS12	Homo sapiens gene	ENSP00000370557	non-periodic	592	
CXCL14	CXCL14	Homo sapiens gene	ENSP00000337065	non-periodic	593	
POC5	POC5	Homo sapiens gene	ENSP00000410216	non-periodic	594	
DR1	DR1	Homo sapiens gene	ENSP00000359290	non-periodic	595	
CCNG2	CCNG2	Homo sapiens gene	ENSP00000315743	non-periodic	596	
MRPL19	MRPL19	Homo sapiens gene	ENSP00000377486	non-periodic	597	
TM4SF1	TM4SF1	Homo sapiens gene	ENSP00000304277	non-periodic	598	
CFD	CFD	Homo sapiens gene	ENSP00000332139	non-periodic	599	
TTC31	TTC31	Homo sapiens gene	ENSP00000233623	non-periodic	600
AP3M2	AP3M2	Homo sapiens gene	ENSP00000174653	non-periodic	601	
MAGEF1	MAGEF1	Homo sapiens gene	ENSP00000315064	non-periodic	602	
ACAP3	ACAP3	Homo sapiens gene	ENSP00000346733	non-periodic	603	
GTF3C4	GTF3C4	Homo sapiens gene	ENSP00000361219	non-periodic	604	
STC2	STC2	Homo sapiens gene	ENSP00000265087	non-periodic	605	
ENPP5	ENPP5	Homo sapiens gene	ENSP00000230565	non-periodic	606	
MYADM	MYADM	Homo sapiens gene	ENSP00000337222	non-periodic	607	
RMI2	RMI2	Homo sapiens gene	ENSP00000310356	non-periodic	608	
C8orf4	C8orf4	Homo sapiens gene	ENSP00000319914	non-periodic	609	
RNF141	RNF141	Homo sapiens gene	ENSP00000265981	non-periodic	610	
C9orf142	C9orf142	Homo sapiens gene	ENSP00000360682	non-periodic	611	
ARHGAP18	ARHGAP18	Homo sapiens gene	ENSP00000275189	non-periodic	612	
TTF2	TTF2	Homo sapiens gene	ENSP00000358478	non-periodic	613	
RHOB	RHOB	Homo sapiens gene	ENSP00000272233	non-periodic	614	
CCDC88A	CCDC88A	Homo sapiens gene	ENSP00000338728	non-periodic	615	
MCM3	MCM3	Homo sapiens gene	ENSP00000229854	non-periodic	616	
RAD18	RAD18	Homo sapiens gene	ENSP00000264926	non-periodic	617	
RAD1	RAD1	Homo sapiens gene	ENSP00000340879	non-periodic	618	
ERCC6L	ERCC6L	Homo sapiens gene	ENSP00000334675	non-periodic	619	
F2RL3	F2RL3	Homo sapiens gene	ENSP00000248076	non-periodic	620
RCCD1	RCCD1	Homo sapiens gene	ENSP00000377801	non-periodic	621	
SAP30BP	SAP30BP	Homo sapiens gene	ENSP00000462116	non-periodic	622	
LEPREL1	LEPREL1	Homo sapiens gene	ENSP00000316881	non-periodic	623	
CALD1	CALD1	Homo sapiens gene	ENSP00000354826	non-periodic	624	
NFIC	NFIC	Homo sapiens gene	ENSP00000465655	non-periodic	625	
RNASEH2C	RNASEH2C	Homo sapiens gene	ENSP00000308193	non-periodic	626	G1
CREBRF	CREBRF	Homo sapiens gene	ENSP00000296953	non-periodic	627	
SYTL4	SYTL4	Homo sapiens gene	ENSP00000263033	non-periodic	628	
DZIP3	DZIP3	Homo sapiens gene	ENSP00000355028	non-periodic	629	
SP1	SP1	Homo sapiens gene	ENSP00000329357	non-periodic	630	
RTN4R	RTN4R	Homo sapiens gene	ENSP00000043402	non-periodic	631	
MANF	MANF	Homo sapiens gene	ENSP00000432799	non-periodic	632	
CHAF1A	CHAF1A	Homo sapiens gene	ENSP00000301280	non-periodic	633	S
CYTH2	CYTH2	Homo sapiens gene	ENSP00000408236	non-periodic	634	
CDK9	CDK9	Homo sapiens gene	ENSP00000362361	non-periodic	635	
ZNF217	ZNF217	Homo sapiens gene	ENSP00000304308	non-periodic	636	
CCZ1B	CCZ1B	Homo sapiens gene	ENSP00000314544	non-periodic	637	
CCZ1	CCZ1	Homo sapiens gene	ENSP00000325681	non-periodic	638	
WDR62	WDR62	Homo sapiens gene	ENSP00000384792	non-periodic	639	
SERPINE2	SERPINE2	Homo sapiens gene	ENSP00000415786	non-periodic	640
HILPDA	HILPDA	Homo sapiens gene	ENSP00000257696	non-periodic	641	
CA1	CA1	Homo sapiens gene	ENSP00000256119	non-periodic	642	
CDC45	CDC45	Homo sapiens gene	ENSP00000405726	non-periodic	643	S
TOB2	TOB2	Homo sapiens gene	ENSP00000331305	non-periodic	644	
DIP2B	DIP2B	Homo sapiens gene	ENSP00000301180	non-periodic	645	G1
SLC44A2	SLC44A2	Homo sapiens gene	ENSP00000336888	non-periodic	646	
KIFC3	KIFC3	Homo sapiens gene	ENSP00000368976	non-periodic	647	G2/M, M
TMPO	TMPO	Homo sapiens gene	ENSP00000266732	non-periodic	648	M
MAFK	MAFK	Homo sapiens gene	ENSP00000344903	non-periodic	649	
STARD4	STARD4	Homo sapiens gene	ENSP00000296632	non-periodic	650	
ANKRD27	ANKRD27	Homo sapiens gene	ENSP00000304292	non-periodic	651	
NPLOC4	NPLOC4	Homo sapiens gene	ENSP00000331487	non-periodic	652	
STX11	STX11	Homo sapiens gene	ENSP00000356540	non-periodic	653	
ZSCAN5A	ZSCAN5A	Homo sapiens gene	ENSP00000375593	non-periodic	654	
CEP44	CEP44	Homo sapiens gene	ENSP00000389427	non-periodic	655	
TRIM27	TRIM27	Homo sapiens gene	ENSP00000366404	non-periodic	656	
PTP4A1	PTP4A1	Homo sapiens gene	ENSP00000359685	non-periodic	657	
GPRC5A	GPRC5A	Homo sapiens gene	ENSP00000014914	non-periodic	658	
RRP9	RRP9	Homo sapiens gene	ENSP00000232888	non-periodic	659	
FOXC1	FOXC1	Homo sapiens gene	ENSP00000370256	non-periodic	660
MFAP1	MFAP1	Homo sapiens gene	ENSP00000267812	non-periodic	661	G1
TMEM19	TMEM19	Homo sapiens gene	ENSP00000266673	non-periodic	662	
SH2D5	SH2D5	Homo sapiens gene	ENSP00000406026	non-periodic	663	
GMFG	GMFG	Homo sapiens gene	ENSP00000472249	non-periodic	664	
KRT15	KRT15	Homo sapiens gene	ENSP00000254043	non-periodic	665	
MAP3K2	MAP3K2	Homo sapiens gene	ENSP00000343463	non-periodic	666	
OGFR	OGFR	Homo sapiens gene	ENSP00000290291	non-periodic	667	
OSBPL10	OSBPL10	Homo sapiens gene	ENSP00000379804	non-periodic	668	
PRPSAP1	PRPSAP1	Homo sapiens gene	ENSP00000414624	non-periodic	669	
TTC14	TTC14	Homo sapiens gene	ENSP00000296015	non-periodic	670	
HIST3H2A	HIST3H2A	Homo sapiens gene	ENSP00000355656	non-periodic	671	G2/M, M
CLMP	CLMP	Homo sapiens gene	ENSP00000405577	non-periodic	672	
SIRPA	SIRPA	Homo sapiens gene	ENSP00000348307	non-periodic	673	
IL18RAP	IL18RAP	Homo sapiens gene	ENSP00000264260	non-periodic	674	
SCP2	SCP2	Homo sapiens gene	ENSP00000360569	non-periodic	675	
SLC35B4	SLC35B4	Homo sapiens gene	ENSP00000367770	non-periodic	676	
CLCN2	CLCN2	Homo sapiens gene	ENSP00000265593	non-periodic	677	
CDK20	CDK20	Homo sapiens gene	ENSP00000322343	non-periodic	678	
CDC7	CDC7	Homo sapiens gene	ENSP00000234626	non-periodic	679	
CENPN	CENPN	Homo sapiens gene	ENSP00000377007	non-periodic	680
CCSAP	CCSAP	Homo sapiens gene	ENSP00000284617	non-periodic	681	
MAP4	MAP4	Homo sapiens gene	ENSP00000353375	non-periodic	682	
OR2B2	OR2B2	Homo sapiens gene	ENSP00000304419	non-periodic	683	
HIST1H2BO	HIST1H2BO	Homo sapiens gene	ENSP00000303408	non-periodic	684	
CPS1	CPS1	Homo sapiens gene	ENSP00000402608	non-periodic	685	
ACAP2	ACAP2	Homo sapiens gene	ENSP00000324287	non-periodic	686	
DTWD1	DTWD1	Homo sapiens gene	ENSP00000251250	non-periodic	687	
MT1F	MT1F	Homo sapiens gene	ENSP00000334872	non-periodic	688	
SLC25A36	SLC25A36	Homo sapiens gene	ENSP00000320688	non-periodic	689	
TMEM150A	TMEM150A	Homo sapiens gene	ENSP00000334708	non-periodic	690	
INTS7	INTS7	Homo sapiens gene	ENSP00000355961	non-periodic	691	
FCAMR	FCAMR	Homo sapiens gene	ENSP00000316491	non-periodic	692	
TNFRSF12A	TNFRSF12A	Homo sapiens gene	ENSP00000326737	non-periodic	693	
KLF8	KLF8	Homo sapiens gene	ENSP00000417303	non-periodic	694	
TXNRD1	TXNRD1	Homo sapiens gene	ENSP00000434516	non-periodic	695	
CSTF1	CSTF1	Homo sapiens gene	ENSP00000217109	non-periodic	696	
BMI1	BMI1	Homo sapiens gene	ENSP00000365851	non-periodic	697	
ATG16L2	ATG16L2	Homo sapiens gene	ENSP00000326340	non-periodic	698	
MORF4L2	MORF4L2	Homo sapiens gene	ENSP00000353643	non-periodic	699	
FAM60A	FAM60A	Homo sapiens gene	ENSP00000337477	non-periodic	700
